State,Data Acquisition Time,DO
Andhra Pradesh,01-10-2018 08:30,1.4
Andhra Pradesh,02-07-2018 08:30,1.2
Andhra Pradesh,21-03-2018 08:30,1.6
Andhra Pradesh,06-06-2018 08:30,2
Andhra Pradesh,07-11-2018 08:30,1
Andhra Pradesh,08-02-2018 08:30,1.2
Andhra Pradesh,10-04-2018 08:30,0.8
Andhra Pradesh,11-01-2018 08:30,0.5
Andhra Pradesh,01-10-2020 08:30,0.1
Andhra Pradesh,02-09-2020 08:30,0.1
Andhra Pradesh,03-06-2020 08:30,0.1
Andhra Pradesh,13-04-2020 08:30,1.4
Andhra Pradesh,19-08-2020 08:30,0.8
Andhra Pradesh,17-09-2020 08:30,1.2
Andhra Pradesh,10-08-2020 08:30,2.9
Andhra Pradesh,11-04-2020 08:30,1.3
Andhra Pradesh,05-07-2019 08:30,2.4
Andhra Pradesh,06-04-2019 08:30,3
Andhra Pradesh,07-09-2019 08:30,5.4
Andhra Pradesh,08-06-2019 08:30,1
Andhra Pradesh,01-03-2020 08:30,0.1
Andhra Pradesh,02-05-2020 08:30,0.1
Andhra Pradesh,03-04-2020 08:30,0.1
Andhra Pradesh,14-04-2020 08:30,2.8
Andhra Pradesh,05-04-2020 08:30,0.1
Andhra Pradesh,06-09-2020 08:30,0.1
Andhra Pradesh,07-03-2020 08:30,0.4
Andhra Pradesh,08-07-2020 08:30,2.6
Andhra Pradesh,09-07-2020 08:30,1.1
Andhra Pradesh,10-07-2020 08:30,1
Andhra Pradesh,11-05-2020 08:30,0.3
Andhra Pradesh,12-07-2020 08:30,0.4
Andhra Pradesh,08-03-2019 08:30,1
Andhra Pradesh,10-09-2019 08:30,2.2
Andhra Pradesh,11-06-2019 08:30,1.8
Andhra Pradesh,02-01-2020 08:30,0.1
Andhra Pradesh,03-04-2020 08:30,1.4
Andhra Pradesh,08-07-2020 08:30,1
Andhra Pradesh,09-03-2020 08:30,3.6
Andhra Pradesh,11-06-2020 08:30,5.6
Andhra Pradesh,12-10-2020 08:30,4.2
Andhra Pradesh,06-07-2019 08:30,4.5
Andhra Pradesh,07-09-2019 08:30,3.2
Andhra Pradesh,20-09-2019 08:30,2
Andhra Pradesh,19-10-2019 08:30,2
Andhra Pradesh,11-06-2019 08:30,1.2
Andhra Pradesh,01-06-2020 08:30,0.8
Andhra Pradesh,02-06-2020 08:30,0.1
Andhra Pradesh,17-03-2020 08:30,0.1
Andhra Pradesh,13-04-2020 08:30,2.8
Andhra Pradesh,05-06-2020 08:30,3.2
Andhra Pradesh,06-04-2020 08:30,3.8
Andhra Pradesh,07-01-2020 08:30,3.5
Andhra Pradesh,08-03-2020 08:30,2.1
Andhra Pradesh,09-07-2020 08:30,1.6
Andhra Pradesh,02-07-2018 08:30,1
Andhra Pradesh,10-05-2018 08:30,1
Andhra Pradesh,07-09-2019 08:30,1.8
Andhra Pradesh,08-08-2019 08:30,1
Andhra Pradesh,19-08-2020 08:30,0.9
Andhra Pradesh,09-01-2020 08:30,0.3
Andhra Pradesh,10-09-2020 08:30,0.3
Andhra Pradesh,11-04-2020 08:30,0.3
Andhra Pradesh,20-05-2019 08:30,5.5
Andhra Pradesh,06-10-2019 08:30,5
Andhra Pradesh,07-06-2019 08:30,7
Andhra Pradesh,08-09-2019 08:30,5.9
Andhra Pradesh,09-12-2019 08:30,6.5
Andhra Pradesh,10-02-2019 08:30,6.5
Andhra Pradesh,11-12-2019 08:30,5.8
Andhra Pradesh,12-11-2019 08:30,6.1
Andhra Pradesh,01-09-2020 08:30,4.9
Andhra Pradesh,02-09-2020 08:30,5
Andhra Pradesh,13-03-2020 08:30,6
Andhra Pradesh,13-04-2020 08:30,6.1
Andhra Pradesh,05-04-2020 08:30,5.7
Andhra Pradesh,06-11-2020 08:30,4.8
Andhra Pradesh,16-07-2020 08:30,5.8
