State,Data Acquisition Time,pH
Andhra Pradesh,01-10-2018 08:30,7.66
Andhra Pradesh,02-07-2018 08:30,7.64
Andhra Pradesh,21-03-2018 08:30,7.93
Andhra Pradesh,04-03-2018 08:30,7.6
Andhra Pradesh,05-10-2018 08:30,7.45
Andhra Pradesh,06-06-2018 08:30,7.61
Andhra Pradesh,07-11-2018 08:30,7.65
Andhra Pradesh,08-02-2018 08:30,7.81
Andhra Pradesh,09-05-2018 08:30,7.55
Andhra Pradesh,10-04-2018 08:30,7.57
Andhra Pradesh,11-01-2018 08:30,7.36
Andhra Pradesh,12-04-2018 08:30,7.6
Andhra Pradesh,01-05-2019 08:30,7.5
Andhra Pradesh,02-08-2019 08:30,7.5
Andhra Pradesh,03-11-2019 08:30,7.6
Andhra Pradesh,07-09-2019 08:30,7.5
Andhra Pradesh,08-09-2019 08:30,7
Andhra Pradesh,22-09-2019 08:30,7.6
Andhra Pradesh,22-10-2019 08:30,7.4
Andhra Pradesh,21-11-2019 08:30,7.8
Andhra Pradesh,12-06-2019 08:30,7.3
Andhra Pradesh,01-10-2020 08:30,7
Andhra Pradesh,02-09-2020 08:30,7.1
Andhra Pradesh,03-06-2020 08:30,7.3
Andhra Pradesh,13-04-2020 08:30,7.7
Andhra Pradesh,19-08-2020 08:30,7.2
Andhra Pradesh,17-09-2020 08:30,7.32
Andhra Pradesh,10-08-2020 08:30,7.81
Andhra Pradesh,11-04-2020 08:30,7.31
Andhra Pradesh,31-12-2020 08:30,7.4
Andhra Pradesh,05-07-2019 08:30,7.9
Andhra Pradesh,06-04-2019 08:30,7.6
Andhra Pradesh,07-09-2019 08:30,7.6
Andhra Pradesh,08-06-2019 08:30,6.9
Andhra Pradesh,09-03-2019 08:30,7.6
Andhra Pradesh,10-04-2019 08:30,7.7
Andhra Pradesh,11-07-2019 08:30,7
Andhra Pradesh,12-06-2019 08:30,7.3
Andhra Pradesh,01-03-2020 08:30,7.5
Andhra Pradesh,02-05-2020 08:30,7.8
Andhra Pradesh,03-04-2020 08:30,7.5
Andhra Pradesh,14-04-2020 08:30,7.5
Andhra Pradesh,05-04-2020 08:30,7.7
Andhra Pradesh,06-09-2020 08:30,7.2
Andhra Pradesh,07-03-2020 08:30,7.3
Andhra Pradesh,08-07-2020 08:30,6.9
Andhra Pradesh,09-07-2020 08:30,7.52
Andhra Pradesh,10-07-2020 08:30,7.11
Andhra Pradesh,11-05-2020 08:30,7.08
Andhra Pradesh,12-07-2020 08:30,7.1
Andhra Pradesh,05-09-2019 08:30,7.5
Andhra Pradesh,06-01-2019 08:30,7.4
Andhra Pradesh,07-09-2019 08:30,7.2
Andhra Pradesh,08-03-2019 08:30,7.4
Andhra Pradesh,09-03-2019 08:30,7.2
Andhra Pradesh,10-09-2019 08:30,8.1
Andhra Pradesh,11-06-2019 08:30,7.9
Andhra Pradesh,02-01-2020 08:30,8
Andhra Pradesh,03-04-2020 08:30,7.2
Andhra Pradesh,08-07-2020 08:30,8.2
Andhra Pradesh,09-03-2020 08:30,7.62
Andhra Pradesh,11-06-2020 08:30,7.5
Andhra Pradesh,12-10-2020 08:30,7.8
Andhra Pradesh,06-07-2019 08:30,7.3
Andhra Pradesh,07-09-2019 08:30,7.5
Andhra Pradesh,20-09-2019 08:30,7
Andhra Pradesh,19-10-2019 08:30,7.3
Andhra Pradesh,11-06-2019 08:30,7.1
Andhra Pradesh,01-06-2020 08:30,7.6
Andhra Pradesh,02-06-2020 08:30,6.8
Andhra Pradesh,17-03-2020 08:30,6.9
Andhra Pradesh,13-04-2020 08:30,7.2
Andhra Pradesh,05-06-2020 08:30,7.5
Andhra Pradesh,06-04-2020 08:30,6.9
Andhra Pradesh,07-01-2020 08:30,7.3
Andhra Pradesh,08-03-2020 08:30,8.1
Andhra Pradesh,09-07-2020 08:30,7.32
Andhra Pradesh,01-10-2018 08:30,7.54
Andhra Pradesh,02-07-2018 08:30,7.62
Andhra Pradesh,04-04-2018 08:30,7.01
Andhra Pradesh,05-09-2018 08:30,7.6
Andhra Pradesh,06-06-2018 08:30,7.51
Andhra Pradesh,07-12-2018 08:30,7.19
Andhra Pradesh,08-03-2018 08:30,7.21
Andhra Pradesh,09-06-2018 08:30,7.06
Andhra Pradesh,10-05-2018 08:30,7.12
Andhra Pradesh,11-01-2018 08:30,7.62
Andhra Pradesh,12-06-2018 08:30,7.8
Andhra Pradesh,01-05-2019 08:30,7.2
Andhra Pradesh,02-07-2019 08:30,7.2
Andhra Pradesh,03-11-2019 08:30,7.4
Andhra Pradesh,04-05-2019 08:30,7.4
Andhra Pradesh,05-06-2019 08:30,7.4
Andhra Pradesh,06-03-2019 08:30,7.4
Andhra Pradesh,07-09-2019 08:30,7.8
Andhra Pradesh,08-08-2019 08:30,7.2
Andhra Pradesh,22-09-2019 08:30,7.3
Andhra Pradesh,19-08-2020 08:30,7.1
Andhra Pradesh,09-01-2020 08:30,7.64
Andhra Pradesh,10-09-2020 08:30,7.01
Andhra Pradesh,11-04-2020 08:30,7.78
Andhra Pradesh,29-12-2020 08:30,7
Andhra Pradesh,20-05-2019 08:30,7.9
Andhra Pradesh,06-10-2019 08:30,7.4
Andhra Pradesh,07-06-2019 08:30,7.7
Andhra Pradesh,08-09-2019 08:30,7.2
Andhra Pradesh,09-12-2019 08:30,7.4
Andhra Pradesh,10-02-2019 08:30,7.4
Andhra Pradesh,11-12-2019 08:30,8
Andhra Pradesh,12-11-2019 08:30,8.4
Andhra Pradesh,01-09-2020 08:30,8
Andhra Pradesh,02-09-2020 08:30,8
Andhra Pradesh,13-03-2020 08:30,7.8
Andhra Pradesh,13-04-2020 08:30,7.9
Andhra Pradesh,05-04-2020 08:30,7.6
Andhra Pradesh,06-11-2020 08:30,8
Andhra Pradesh,16-07-2020 08:30,7.7
Andhra Pradesh,17-08-2020 08:30,7.7
Andhra Pradesh,09-02-2020 08:30,7.8
Andhra Pradesh,16-10-2020 08:30,8.3
Andhra Pradesh,13-11-2020 08:30,8.1
Andhra Pradesh,12-09-2020 08:30,7.9
Andhra Pradesh,01-10-2018 08:30,8.16
Andhra Pradesh,02-09-2018 08:30,7.83
Andhra Pradesh,03-10-2018 08:30,7.54
Andhra Pradesh,04-02-2018 08:30,7.11
Andhra Pradesh,05-03-2018 08:30,7.54
Andhra Pradesh,06-04-2018 08:30,7.49
Andhra Pradesh,07-02-2018 08:30,7.18
Andhra Pradesh,08-10-2018 08:30,7.12
Andhra Pradesh,09-10-2018 08:30,7.93
Andhra Pradesh,10-04-2018 08:30,7.67
Andhra Pradesh,11-08-2018 08:30,7.7
Andhra Pradesh,12-05-2018 08:30,8.4
Andhra Pradesh,01-05-2019 08:30,8.2
Andhra Pradesh,02-06-2019 08:30,8
Andhra Pradesh,03-05-2019 08:30,8.2
Andhra Pradesh,05-01-2019 08:30,7.6
Andhra Pradesh,06-01-2019 08:30,7.7
Andhra Pradesh,07-02-2019 08:30,7.8
Andhra Pradesh,08-01-2019 08:30,7.8
Andhra Pradesh,09-03-2019 08:30,7.8
Andhra Pradesh,10-03-2019 08:30,8.2
Andhra Pradesh,11-05-2019 08:30,7.4
Andhra Pradesh,12-03-2019 08:30,7.4
Andhra Pradesh,01-03-2020 08:30,7.7
Andhra Pradesh,02-10-2020 08:30,7.8
Andhra Pradesh,03-05-2020 08:30,8
Andhra Pradesh,04-08-2020 08:30,7.8
Andhra Pradesh,05-08-2020 08:30,7.5
Andhra Pradesh,06-05-2020 08:30,7.6
Andhra Pradesh,07-10-2020 08:30,7.8
Andhra Pradesh,08-04-2020 08:30,8.5
Andhra Pradesh,09-09-2020 08:30,8
Andhra Pradesh,10-01-2020 08:30,8.38
