State,Data Acquisition Time,TDS
Andhra Pradesh,04-06-2018 08:30,1060
Andhra Pradesh,10-06-2018 08:30,1180
Andhra Pradesh,04-08-2019 08:30,1124
Andhra Pradesh,10-07-2019 08:30,892
Andhra Pradesh,04-04-2019 08:30,1298
Andhra Pradesh,16-10-2019 08:30,1786
Andhra Pradesh,04-12-2019 08:30,1887
Andhra Pradesh,14-10-2019 08:30,1560
Andhra Pradesh,04-06-2018 08:30,560
Andhra Pradesh,10-04-2018 08:30,780
Andhra Pradesh,04-08-2019 08:30,780
Andhra Pradesh,10-10-2019 08:30,706
Andhra Pradesh,14-10-2019 08:30,1092
Andhra Pradesh,24-06-2019 08:30,3520
Andhra Pradesh,10-11-2019 08:30,1098
Andhra Pradesh,27-04-2018 08:30,2840
Andhra Pradesh,19-10-2018 08:30,1860
Andhra Pradesh,04-04-2019 08:30,1852
Andhra Pradesh,17-10-2019 08:30,1238
Andhra Pradesh,15-10-2019 08:30,1720
Andhra Pradesh,04-11-2018 08:30,1224
Andhra Pradesh,10-09-2018 08:30,1225
Andhra Pradesh,04-08-2019 08:30,1322
Andhra Pradesh,16-10-2019 08:30,1127
Andhra Pradesh,25-04-2018 08:30,3891
Andhra Pradesh,10-09-2018 08:30,3891
Andhra Pradesh,04-08-2019 08:30,4732
Andhra Pradesh,10-05-2019 08:30,4326
Andhra Pradesh,14-10-2019 08:30,618
Andhra Pradesh,15-04-2019 08:30,620
Andhra Pradesh,10-10-2019 08:30,904
Andhra Pradesh,10-02-2019 08:30,220
Andhra Pradesh,05-08-2018 08:30,1289
Andhra Pradesh,10-10-2018 08:30,2182
Andhra Pradesh,06-06-2019 08:30,3980
Andhra Pradesh,07-11-2019 08:30,4510
Andhra Pradesh,08-06-2019 08:30,5300
Andhra Pradesh,10-10-2019 08:30,6200
Andhra Pradesh,11-06-2019 08:30,5920
Andhra Pradesh,12-09-2019 08:30,5940
Andhra Pradesh,20-04-2018 08:30,920
Andhra Pradesh,24-10-2018 08:30,1090
Andhra Pradesh,20-04-2019 08:30,1160
Andhra Pradesh,10-09-2019 08:30,1115
Andhra Pradesh,05-10-2018 08:30,1197
Andhra Pradesh,10-05-2018 08:30,1198
Andhra Pradesh,10-04-2019 08:30,1058
Andhra Pradesh,05-10-2018 08:30,1463
Andhra Pradesh,10-05-2018 08:30,1526
Andhra Pradesh,10-04-2019 08:30,1556
Andhra Pradesh,05-10-2018 08:30,1724
Andhra Pradesh,10-05-2018 08:30,2022
Andhra Pradesh,10-04-2019 08:30,2159
Andhra Pradesh,05-10-2018 08:30,901
Andhra Pradesh,10-05-2018 08:30,1096
Andhra Pradesh,10-04-2019 08:30,712
Andhra Pradesh,05-10-2018 08:30,499
Andhra Pradesh,10-05-2018 08:30,460
Andhra Pradesh,10-04-2019 08:30,520
Andhra Pradesh,05-10-2018 08:30,1896
Andhra Pradesh,10-05-2018 08:30,1930
Andhra Pradesh,10-04-2019 08:30,1859
Andhra Pradesh,05-08-2018 08:30,1098
Andhra Pradesh,10-10-2018 08:30,1238
Andhra Pradesh,17-04-2019 08:30,1224
Andhra Pradesh,19-10-2019 08:30,2376
Andhra Pradesh,22-04-2018 08:30,282
Andhra Pradesh,10-08-2018 08:30,254
Andhra Pradesh,04-03-2019 08:30,188
Andhra Pradesh,18-10-2019 08:30,212
Andhra Pradesh,27-05-2019 08:30,692
Andhra Pradesh,16-10-2019 08:30,780
Andhra Pradesh,04-11-2018 08:30,431
Andhra Pradesh,10-09-2018 08:30,538
Andhra Pradesh,04-08-2019 08:30,481
Andhra Pradesh,16-10-2019 08:30,501
Andhra Pradesh,24-04-2018 08:30,2859
Andhra Pradesh,10-06-2018 08:30,3510
Andhra Pradesh,10-09-2019 08:30,3287
Andhra Pradesh,23-04-2018 08:30,816
Andhra Pradesh,24-10-2018 08:30,1408
Andhra Pradesh,30-04-2019 08:30,1378
Andhra Pradesh,10-10-2019 08:30,1334
Andhra Pradesh,04-06-2018 08:30,1290
Andhra Pradesh,10-08-2018 08:30,546
Andhra Pradesh,04-03-2019 08:30,560
Andhra Pradesh,10-10-2019 08:30,950
Andhra Pradesh,05-10-2018 08:30,1274
Andhra Pradesh,10-05-2018 08:30,1252
Andhra Pradesh,10-04-2019 08:30,1482
Andhra Pradesh,10-05-2018 08:30,1420
Andhra Pradesh,10-09-2019 08:30,9064
Andhra Pradesh,04-10-2018 08:30,990
Andhra Pradesh,24-10-2018 08:30,1324
Andhra Pradesh,20-04-2019 08:30,980
Andhra Pradesh,10-10-2019 08:30,1164
Andhra Pradesh,18-06-2019 08:30,1880
Andhra Pradesh,21-10-2019 08:30,1850
Andhra Pradesh,10-11-2019 08:30,2318
Andhra Pradesh,27-06-2019 08:30,470
Andhra Pradesh,10-09-2019 08:30,580
Andhra Pradesh,05-10-2018 08:30,1196
Andhra Pradesh,10-04-2018 08:30,4542
Andhra Pradesh,10-05-2019 08:30,2210
Andhra Pradesh,04-02-2018 08:30,768
Andhra Pradesh,10-04-2018 08:30,946
Andhra Pradesh,10-03-2019 08:30,1072
Andhra Pradesh,04-06-2018 08:30,760
Andhra Pradesh,10-04-2018 08:30,656
Andhra Pradesh,10-10-2019 08:30,710
Andhra Pradesh,04-02-2018 08:30,932
Andhra Pradesh,10-04-2018 08:30,924
Andhra Pradesh,10-03-2019 08:30,1019
Andhra Pradesh,05-07-2018 08:30,1863
Andhra Pradesh,04-04-2019 08:30,272
Andhra Pradesh,10-10-2019 08:30,1874
Andhra Pradesh,24-06-2019 08:30,1700
Andhra Pradesh,14-10-2019 08:30,1812
Andhra Pradesh,28-04-2018 08:30,1480
Andhra Pradesh,19-10-2018 08:30,1790
Andhra Pradesh,04-03-2019 08:30,3024
Andhra Pradesh,10-04-2019 08:30,2480
Andhra Pradesh,28-04-2018 08:30,1580
Andhra Pradesh,16-10-2018 08:30,1410
Andhra Pradesh,04-03-2019 08:30,1604
Andhra Pradesh,10-04-2019 08:30,668
Andhra Pradesh,04-11-2018 08:30,740
Andhra Pradesh,10-10-2018 08:30,1120
Andhra Pradesh,04-07-2019 08:30,708
Andhra Pradesh,14-10-2019 08:30,1796
Andhra Pradesh,28-04-2018 08:30,1460
Andhra Pradesh,16-10-2018 08:30,1260
Andhra Pradesh,04-03-2019 08:30,1492
Andhra Pradesh,10-05-2019 08:30,1560
Andhra Pradesh,04-08-2018 08:30,344
Andhra Pradesh,10-04-2018 08:30,364
Andhra Pradesh,04-08-2019 08:30,388
Andhra Pradesh,10-10-2019 08:30,1868
Andhra Pradesh,20-04-2018 08:30,820
Andhra Pradesh,24-10-2018 08:30,1174
Andhra Pradesh,20-04-2019 08:30,1180
Andhra Pradesh,10-10-2019 08:30,1128
Andhra Pradesh,04-10-2018 08:30,540
Andhra Pradesh,10-04-2018 08:30,478
Andhra Pradesh,10-10-2019 08:30,496
Assam,23-04-2018 08:30,348
Assam,29-10-2018 08:30,134
Assam,29-04-2019 08:30,348
Assam,29-10-2019 08:30,170
Assam,04-02-2018 08:30,98
Assam,25-10-2018 08:30,60
Assam,04-04-2019 08:30,62
Assam,29-10-2019 08:30,70
Assam,23-04-2018 08:30,268
Assam,29-10-2018 08:30,28
Assam,04-08-2019 08:30,272
Assam,21-10-2019 08:30,90
Assam,04-09-2018 08:30,146
Assam,10-03-2018 08:30,220
Assam,04-01-2019 08:30,150
Assam,10-10-2019 08:30,154
Assam,24-04-2018 08:30,804
Assam,30-10-2018 08:30,64
Assam,25-04-2019 08:30,36
Assam,30-10-2019 08:30,62
Assam,23-04-2018 08:30,160
Assam,10-11-2018 08:30,146
Assam,04-09-2019 08:30,268
Assam,21-10-2019 08:30,120
Assam,18-04-2018 08:30,146
Assam,10-05-2018 08:30,118
Assam,04-03-2019 08:30,120
Assam,29-10-2019 08:30,162
Assam,25-04-2018 08:30,154
