State,Data Acquisition Time,Turbidity 
Andhra Pradesh,01-10-2020 08:30,21
Andhra Pradesh,02-09-2020 08:30,24
Andhra Pradesh,03-06-2020 08:30,26
Andhra Pradesh,13-04-2020 08:30,18
Andhra Pradesh,19-08-2020 08:30,10
Andhra Pradesh,17-09-2020 08:30,12
Andhra Pradesh,10-08-2020 08:30,13
Andhra Pradesh,11-04-2020 08:30,18
Andhra Pradesh,31-12-2020 08:30,13
Andhra Pradesh,01-03-2020 08:30,12
Andhra Pradesh,02-05-2020 08:30,16
Andhra Pradesh,03-04-2020 08:30,16
Andhra Pradesh,14-04-2020 08:30,18
Andhra Pradesh,05-04-2020 08:30,48
Andhra Pradesh,06-09-2020 08:30,43
Andhra Pradesh,07-03-2020 08:30,22
Andhra Pradesh,08-07-2020 08:30,10
Andhra Pradesh,09-07-2020 08:30,11
Andhra Pradesh,10-07-2020 08:30,12
Andhra Pradesh,11-05-2020 08:30,18
Andhra Pradesh,12-07-2020 08:30,12
Andhra Pradesh,02-01-2020 08:30,18
Andhra Pradesh,03-04-2020 08:30,22
Andhra Pradesh,08-07-2020 08:30,8
Andhra Pradesh,09-03-2020 08:30,8
Andhra Pradesh,11-06-2020 08:30,10
Andhra Pradesh,12-10-2020 08:30,6
Andhra Pradesh,01-06-2020 08:30,20
Andhra Pradesh,02-06-2020 08:30,28
Andhra Pradesh,17-03-2020 08:30,24
Andhra Pradesh,13-04-2020 08:30,31
Andhra Pradesh,05-06-2020 08:30,28
Andhra Pradesh,06-04-2020 08:30,49
Andhra Pradesh,07-01-2020 08:30,28
Andhra Pradesh,08-03-2020 08:30,8
Andhra Pradesh,09-07-2020 08:30,9
Andhra Pradesh,19-08-2020 08:30,9
Andhra Pradesh,09-01-2020 08:30,9
Andhra Pradesh,10-09-2020 08:30,9
Andhra Pradesh,11-04-2020 08:30,7
Andhra Pradesh,29-12-2020 08:30,14
Andhra Pradesh,01-09-2020 08:30,1.56
Andhra Pradesh,02-09-2020 08:30,2.47
Andhra Pradesh,13-03-2020 08:30,2.87
Andhra Pradesh,13-04-2020 08:30,1.26
Andhra Pradesh,05-04-2020 08:30,1.18
Andhra Pradesh,06-11-2020 08:30,0.89
Andhra Pradesh,16-07-2020 08:30,5.26
Andhra Pradesh,17-08-2020 08:30,1.26
Andhra Pradesh,09-02-2020 08:30,1.72
Andhra Pradesh,16-10-2020 08:30,2.18
Andhra Pradesh,13-11-2020 08:30,1.27
Andhra Pradesh,01-03-2020 08:30,10
Andhra Pradesh,02-10-2020 08:30,8
Andhra Pradesh,03-05-2020 08:30,12
Andhra Pradesh,04-08-2020 08:30,8
Andhra Pradesh,05-08-2020 08:30,2
Andhra Pradesh,06-05-2020 08:30,7
Andhra Pradesh,07-10-2020 08:30,5
Andhra Pradesh,08-04-2020 08:30,6
Andhra Pradesh,09-09-2020 08:30,8
Andhra Pradesh,10-01-2020 08:30,9
Andhra Pradesh,11-06-2020 08:30,6
Andhra Pradesh,12-03-2020 08:30,10
Andhra Pradesh,13-04-2020 08:30,1.28
Andhra Pradesh,10-07-2020 08:30,1.85
Andhra Pradesh,13-04-2020 08:30,2.6
Andhra Pradesh,19-10-2020 08:30,0.3
Andhra Pradesh,04-12-2019 08:30,1.1
Andhra Pradesh,13-04-2020 08:30,1.2
Andhra Pradesh,10-06-2020 08:30,0.4
Andhra Pradesh,04-06-2018 08:30,5.79
Andhra Pradesh,10-04-2018 08:30,2.9
Andhra Pradesh,04-08-2019 08:30,4.1
Andhra Pradesh,04-12-2020 08:30,2.18
Andhra Pradesh,10-08-2020 08:30,4.18
Andhra Pradesh,04-12-2020 08:30,1.28
Andhra Pradesh,10-07-2020 08:30,0.88
Andhra Pradesh,15-04-2020 08:30,0.52
Andhra Pradesh,27-10-2020 08:30,0.52
Andhra Pradesh,27-04-2018 08:30,1.3
Andhra Pradesh,17-10-2019 08:30,1.2
Andhra Pradesh,13-04-2020 08:30,2.12
Andhra Pradesh,16-10-2020 08:30,3.96
Andhra Pradesh,15-10-2019 08:30,1.2
Andhra Pradesh,13-04-2020 08:30,2.16
Andhra Pradesh,14-10-2020 08:30,1.09
Andhra Pradesh,04-11-2018 08:30,1.2
Andhra Pradesh,10-09-2018 08:30,1.2
Andhra Pradesh,16-10-2019 08:30,1.4
Andhra Pradesh,04-11-2020 08:30,4
Andhra Pradesh,10-05-2020 08:30,0.8
Andhra Pradesh,10-09-2018 08:30,1.2
Andhra Pradesh,14-04-2020 08:30,1.7
Andhra Pradesh,10-12-2020 08:30,0.5
Andhra Pradesh,10-07-2020 08:30,2.11
Andhra Pradesh,15-04-2019 08:30,7.2
Andhra Pradesh,04-11-2020 08:30,3.12
Andhra Pradesh,10-08-2020 08:30,1.29
Andhra Pradesh,13-04-2020 08:30,2.03
Andhra Pradesh,16-10-2020 08:30,3.64
Andhra Pradesh,05-08-2018 08:30,2
Andhra Pradesh,10-10-2018 08:30,14
Andhra Pradesh,01-07-2020 08:30,0.74
Andhra Pradesh,02-11-2020 08:30,0.8
Andhra Pradesh,03-10-2020 08:30,0.75
Andhra Pradesh,04-11-2020 08:30,1.24
Andhra Pradesh,05-11-2020 08:30,1.3
Andhra Pradesh,06-08-2020 08:30,1.48
Andhra Pradesh,13-07-2020 08:30,1.2
Andhra Pradesh,08-12-2020 08:30,1.38
Andhra Pradesh,09-04-2020 08:30,2.11
Andhra Pradesh,10-07-2020 08:30,2.24
Andhra Pradesh,11-12-2020 08:30,2.18
Andhra Pradesh,14-04-2020 08:30,0.56
Andhra Pradesh,15-10-2020 08:30,0.82
Andhra Pradesh,10-05-2018 08:30,10
Andhra Pradesh,10-04-2019 08:30,12
Andhra Pradesh,10-07-2020 08:30,10
Andhra Pradesh,05-10-2018 08:30,2
Andhra Pradesh,10-05-2018 08:30,10
Andhra Pradesh,10-04-2019 08:30,10
Andhra Pradesh,10-07-2020 08:30,8
Andhra Pradesh,05-10-2018 08:30,2
Andhra Pradesh,10-05-2018 08:30,12
Andhra Pradesh,10-04-2019 08:30,14
Andhra Pradesh,10-07-2020 08:30,11
Andhra Pradesh,05-10-2018 08:30,2
Andhra Pradesh,10-05-2018 08:30,14
Andhra Pradesh,10-04-2019 08:30,14
Andhra Pradesh,10-07-2020 08:30,10
Andhra Pradesh,10-04-2019 08:30,4
Andhra Pradesh,10-07-2020 08:30,3
Andhra Pradesh,10-05-2018 08:30,10
Andhra Pradesh,10-04-2019 08:30,10
Andhra Pradesh,10-07-2020 08:30,12
Andhra Pradesh,05-08-2018 08:30,2
Andhra Pradesh,10-10-2018 08:30,4
Andhra Pradesh,17-04-2019 08:30,2.5
Andhra Pradesh,19-10-2019 08:30,2.1
Andhra Pradesh,13-04-2020 08:30,2.7
Andhra Pradesh,10-09-2020 08:30,2
Andhra Pradesh,22-04-2018 08:30,1.1
Andhra Pradesh,10-08-2018 08:30,4
Andhra Pradesh,04-03-2019 08:30,2.2
Andhra Pradesh,15-02-2020 08:30,0.6
Andhra Pradesh,04-11-2020 08:30,3.18
Andhra Pradesh,10-08-2020 08:30,49.7
Andhra Pradesh,04-12-2020 08:30,0.3
Andhra Pradesh,10-06-2020 08:30,0.3
Andhra Pradesh,04-11-2018 08:30,1.3
Andhra Pradesh,10-09-2018 08:30,2.7
Andhra Pradesh,04-11-2020 08:30,1.1
Andhra Pradesh,10-07-2020 08:30,0.5
Andhra Pradesh,10-06-2018 08:30,1.81
Andhra Pradesh,14-04-2020 08:30,2
Andhra Pradesh,17-10-2020 08:30,0.7
Andhra Pradesh,15-04-2020 08:30,0.58
Andhra Pradesh,14-10-2020 08:30,0.68
Andhra Pradesh,13-04-2020 08:30,1.06
Andhra Pradesh,10-06-2020 08:30,0.93
Andhra Pradesh,10-05-2018 08:30,10
Andhra Pradesh,10-04-2019 08:30,12
Andhra Pradesh,10-07-2020 08:30,11
Andhra Pradesh,10-05-2018 08:30,10
Andhra Pradesh,10-04-2019 08:30,10
